2024-01-13T23:25:38.471802+0300 INFO  Request: GET http://127.0.0.1:8000/
2024-01-13T23:25:38.476924+0300 INFO  Response: 404
2024-01-13T23:25:38.556397+0300 INFO  Request: GET http://127.0.0.1:8000/favicon.ico
2024-01-13T23:25:38.558397+0300 INFO  Response: 404
2024-01-13T23:25:45.774550+0300 INFO  Request: GET http://127.0.0.1:8000/docs
2024-01-13T23:25:45.776124+0300 INFO  Response: 200
2024-01-13T23:25:47.484639+0300 INFO  Request: GET http://127.0.0.1:8000/openapi.json
2024-01-13T23:25:47.487638+0300 INFO  Response: 200
2024-01-13T23:27:43.787560+0300 INFO  Request: GET http://127.0.0.1:8000/docs
2024-01-13T23:27:43.791560+0300 INFO  Response: 200
2024-01-13T23:27:43.869853+0300 INFO  Request: GET http://127.0.0.1:8000/openapi.json
2024-01-13T23:27:43.872852+0300 INFO  Response: 200
2024-01-13T23:27:44.623397+0300 INFO  Request: GET http://127.0.0.1:8000/docs
2024-01-13T23:27:44.624451+0300 INFO  Response: 200
2024-01-13T23:27:44.676224+0300 INFO  Request: GET http://127.0.0.1:8000/openapi.json
2024-01-13T23:27:44.677225+0300 INFO  Response: 200
2024-01-13T23:27:45.071872+0300 INFO  Request: GET http://127.0.0.1:8000/docs
2024-01-13T23:27:45.072874+0300 INFO  Response: 200
2024-01-13T23:27:45.125173+0300 INFO  Request: GET http://127.0.0.1:8000/openapi.json
2024-01-13T23:27:45.127178+0300 INFO  Response: 200
2024-01-13T23:28:56.055519+0300 INFO  Request: GET http://127.0.0.1:8000/docs
2024-01-13T23:28:56.060197+0300 INFO  Response: 200
2024-01-13T23:28:56.131355+0300 INFO  Request: GET http://127.0.0.1:8000/openapi.json
2024-01-13T23:28:56.137396+0300 INFO  Response: 200
2024-01-13T23:56:59.238527+0300 INFO  Request: GET http://127.0.0.1:8000/docs
2024-01-13T23:56:59.241528+0300 INFO  Response: 200
2024-01-13T23:56:59.358435+0300 INFO  Request: GET http://127.0.0.1:8000/openapi.json
2024-01-13T23:56:59.364456+0300 INFO  Response: 200
